TimestampR,avgP_perhour
2019-08-08 02:00:00,835.6447043189369
2019-08-08 03:00:00,835.8592026578073
2019-08-08 04:00:00,836.8274019933555
2019-08-08 05:00:00,839.1978671096346
2019-08-08 06:00:00,835.5709700996678
2019-08-08 07:00:00,835.8028571428572
2019-08-08 08:00:00,831.6889568106312
2019-08-08 09:00:00,826.4389900332226
2019-08-08 10:00:00,819.796757475083
2019-08-08 11:00:00,816.7525664451828
2019-08-08 12:00:00,812.4719158361019
2019-08-08 13:00:00,809.733211517165
2019-08-08 14:00:00,808.4364053156146
2019-08-08 15:00:00,811.0052026578073
2019-08-08 16:00:00,804.1637607973422
2019-08-08 17:00:00,809.9423787375415
2019-08-08 18:00:00,821.4492225913622
2019-08-08 19:00:00,830.1068571428572
2019-08-08 20:00:00,833.1705647840531
